cloneid,parent1,parent2,cross,location,block,height8,dia8,fork
18,14,16,J,Hill,2,35.9,7,0
18,14,16,J,Hill,4,38.3,6.6,0
18,14,16,J,Hill,6,27.7,5.85,0
18,14,16,J,Hill,8,37,6.4,0
18,14,16,J,Orchard,2,35.7,5.4,0
18,14,16,J,Orchard,3,37.1,6.05,0
18,14,16,J,Orchard,4,31,5.2,0
18,14,16,J,Orchard,5,38.1,9.05,0
19,14,16,J,Hill,2,27.8,4.05,0
19,14,16,J,Hill,3,40.3,6.15,0
19,14,16,J,Hill,5,28.5,5.3,0
19,14,16,J,Hill,7,27.2,4.2,0
19,14,16,J,Orchard,1,35.3,5.3,0
19,14,16,J,Orchard,2,23,3.05,0
19,14,16,J,Orchard,6,31.1,4.1,1
19,14,16,J,Orchard,7,26.8,3.15,0
19,14,16,J,Orchard,8,33.1,5.05,0
19,14,16,J,Rail,4,34.3,5.15,0
20,14,16,J,Hill,1,33.7,6.05,0
20,14,16,J,Hill,2,33.7,7.1,0
20,14,16,J,Hill,3,32.7,5.15,0
20,14,16,J,Hill,4,35.7,6.8,0
20,14,16,J,Hill,5,37.6,6.25,0
20,14,16,J,Hill,6,37.3,5,0
20,14,16,J,Hill,7,32.1,5.3,0
20,14,16,J,Hill,8,34,5.65,0
20,14,16,J,Orchard,1,37.8,5,0
20,14,16,J,Orchard,2,37.6,5.8,0
20,14,16,J,Orchard,3,36.3,5.2,0
20,14,16,J,Orchard,4,32.4,4.4,0
20,14,16,J,Orchard,5,38.1,5.5,0
20,14,16,J,Orchard,6,37.3,5,0
20,14,16,J,Orchard,7,33.7,5.65,0
20,14,16,J,Orchard,8,29.5,4.1,0
20,14,16,J,Rail,1,33.5,5,0
20,14,16,J,Rail,2,32.4,5.8,0
20,14,16,J,Rail,3,35.1,6.35,0
21,14,16,J,Hill,1,41.6,6.25,0
21,14,16,J,Hill,1,40.2,7.25,0
21,14,16,J,Hill,2,41.7,7.3,0
21,14,16,J,Hill,2,35.8,7.05,0
21,14,16,J,Hill,3,37,7.1,0
21,14,16,J,Hill,3,38.2,7.2,0
21,14,16,J,Hill,4,35.9,6.6,0
21,14,16,J,Hill,4,39.6,5.55,0
21,14,16,J,Hill,5,44,6.6,0
21,14,16,J,Hill,5,36.4,7,0
21,14,16,J,Hill,6,34.4,7.5,0
21,14,16,J,Hill,7,34.8,7.2,0
21,14,16,J,Hill,7,39.9,6.5,0
21,14,16,J,Hill,8,31.6,6.5,0
21,14,16,J,Hill,8,40.4,6.8,0
21,14,16,J,Orchard,1,40.4,5.95,0
21,14,16,J,Orchard,1,40.5,6.35,0
21,14,16,J,Orchard,2,33.4,4.8,0
21,14,16,J,Orchard,2,35.1,5.55,0
21,14,16,J,Orchard,3,37.9,6.65,0
21,14,16,J,Orchard,3,37.6,5.65,0
21,14,16,J,Orchard,4,34.8,6.25,0
21,14,16,J,Orchard,4,20.7,5.95,0
21,14,16,J,Orchard,5,33,6.1,0
21,14,16,J,Orchard,5,34.5,6.05,0
21,14,16,J,Orchard,6,36,6.25,0
21,14,16,J,Orchard,6,36.8,6.5,0
21,14,16,J,Orchard,7,24,NA,1
21,14,16,J,Orchard,7,35.9,7.1,0
21,14,16,J,Orchard,8,38.4,6.55,0
21,14,16,J,Orchard,8,34.9,6.15,0
21,14,16,J,Rail,1,37.5,5.7,0
21,14,16,J,Rail,1,39.2,5.85,0
21,14,16,J,Rail,2,42.6,6.95,0
21,14,16,J,Rail,2,35.3,5.9,0
21,14,16,J,Rail,3,33.2,6.95,0
21,14,16,J,Rail,3,40.6,7.35,0
21,14,16,J,Rail,4,37.3,6.85,0
21,14,16,J,Rail,4,35.8,6.2,0
22,14,16,J,Hill,1,27.5,4.1,0
22,14,16,J,Hill,2,26.8,3.5,0
22,14,16,J,Hill,3,40.5,6.8,0
22,14,16,J,Hill,4,33.9,6.25,0
22,14,16,J,Hill,5,36.3,4.35,0
22,14,16,J,Hill,6,35.1,6,0
22,14,16,J,Hill,7,35.9,5.95,0
22,14,16,J,Hill,8,39.2,5.3,0
22,14,16,J,Orchard,1,31.1,4.9,0
22,14,16,J,Orchard,2,38.1,5.3,0
22,14,16,J,Orchard,3,34.5,5.05,0
22,14,16,J,Orchard,4,31.1,3.85,0
22,14,16,J,Orchard,5,35.2,5.1,0
22,14,16,J,Orchard,6,33.7,4.5,0
22,14,16,J,Orchard,7,26.7,4.9,0
22,14,16,J,Orchard,8,30.2,3.95,0
22,14,16,J,Rail,1,45.9,6.9,0
22,14,16,J,Rail,2,30.6,4.25,0
22,14,16,J,Rail,3,30.8,4.7,0
22,14,16,J,Rail,4,33.6,5.2,0
23,14,16,J,Hill,1,34.2,6.8,0
23,14,16,J,Hill,2,35.6,6.9,0
23,14,16,J,Hill,3,35.3,7.2,0
23,14,16,J,Hill,4,36.4,7.15,0
23,14,16,J,Hill,5,34.5,5.8,0
23,14,16,J,Hill,7,36.2,6.45,0
23,14,16,J,Hill,8,25.8,4.9,0
23,14,16,J,Orchard,1,34.9,5.7,0
23,14,16,J,Orchard,2,33.2,4.7,0
23,14,16,J,Orchard,3,37.5,6,0
23,14,16,J,Orchard,4,37.5,6.5,0
23,14,16,J,Orchard,5,38.27,5.35,0
23,14,16,J,Orchard,6,34.4,5.4,0
23,14,16,J,Orchard,7,36.5,5.8,0
23,14,16,J,Orchard,8,35.2,7.3,0
23,14,16,J,Rail,1,41.7,5.75,0
23,14,16,J,Rail,2,40.3,6.95,0
23,14,16,J,Rail,3,31.9,6.1,0
23,14,16,J,Rail,4,37,5.6,0
24,14,16,J,Hill,1,35.2,6.65,0
24,14,16,J,Hill,6,38.6,5.3,0
24,14,16,J,Hill,7,32.2,4.45,0
24,14,16,J,Hill,8,31.1,5.2,0
24,14,16,J,Orchard,1,35.6,5.7,0
24,14,16,J,Orchard,2,38,5,0
24,14,16,J,Orchard,3,36.7,5.6,0
24,14,16,J,Orchard,4,35.8,5,0
24,14,16,J,Orchard,5,39.4,4.75,0
24,14,16,J,Orchard,7,28.5,5.6,0
24,14,16,J,Orchard,8,33.9,5.55,0
24,14,16,J,Rail,1,30.4,3.95,0
25,14,16,J,Hill,1,44.5,6.05,0
25,14,16,J,Hill,2,33.8,6.45,0
25,14,16,J,Hill,3,37.5,6.15,0
25,14,16,J,Hill,4,39.9,7,0
25,14,16,J,Hill,5,31.9,4.75,0
25,14,16,J,Hill,6,27.4,4.25,0
25,14,16,J,Hill,7,31.5,5.1,0
25,14,16,J,Hill,8,28.9,6.55,0
25,14,16,J,Orchard,1,30,5.2,0
25,14,16,J,Orchard,2,32.7,4.5,0
25,14,16,J,Orchard,3,32.3,4.3,0
25,14,16,J,Orchard,4,33.9,4.55,0
25,14,16,J,Orchard,5,35.76,4.9,0
25,14,16,J,Orchard,6,35.1,5.5,0
25,14,16,J,Orchard,7,34.1,5.65,0
25,14,16,J,Orchard,8,35.1,5.8,0
25,14,16,J,Rail,1,33.8,5.65,0
25,14,16,J,Rail,2,33.6,6.25,0
25,14,16,J,Rail,3,37.9,6,0
