ID	female	male
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	5	3
15	4	2
16	13	0
17	8	0
18	14	16
19	14	16
20	14	16
21	14	16
22	14	16
23	14	16
24	14	16
25	14	16
26	14	16
27	14	16
28	14	16
29	14	16
30	14	16
31	14	16
32	14	16
33	14	16
34	14	16
35	14	16
36	14	16
37	14	16
38	14	16
39	14	16
40	14	16
41	14	16
42	14	16
43	14	16
44	14	16
45	14	16
46	14	16
47	14	16
48	14	16
49	14	16
50	14	16
51	14	16
52	16	9
53	16	9
54	16	9
55	5	6
56	5	6
57	5	6
58	5	6
59	5	6
60	5	6
61	5	6
62	5	6
63	5	6
64	11	15
65	11	15
66	11	15
67	11	15
68	11	15
69	11	15
70	11	15
71	11	15
72	11	15
73	11	15
74	11	15
75	11	15
76	11	15
77	11	15
78	10	5
79	10	5
80	10	5
81	10	5
82	10	5
83	10	5
84	10	5
85	10	5
86	10	5
87	10	5
88	10	5
89	10	5
90	10	5
91	10	5
92	10	5
93	10	5
94	10	5
95	10	5
96	10	5
97	10	5
98	10	5
99	12	7
100	12	7
101	12	7
102	12	7
103	12	7
104	12	7
105	12	7
106	12	7
107	12	7
108	12	7
109	12	7
110	12	7
111	12	7
112	17	1
113	17	1
114	17	1
115	17	1
116	17	1
117	17	1
118	17	1
119	17	1
120	17	1
121	17	1
122	17	1
123	17	1
124	17	1
125	17	1
126	17	1
127	17	1
128	17	1
129	17	1
130	17	1
131	17	1
132	17	1
133	17	1
134	17	1
135	17	1
136	17	1
137	12	10
138	12	10
139	12	10
140	12	10
141	12	10
142	12	10
143	12	10
144	12	10
145	12	10
146	12	10
147	12	10
148	12	10
149	12	10
150	12	10
151	12	10
152	12	10
153	12	10
