tree,female,male,cross,site,rep,col,row,HT05,VOL05
76,6,7,L,1,1,1,1,99.4,81.2
26,7,24,A,1,1,1,2,99.9,97.2
filler,0,0,,1,1,1,3,,
93,16,21,N,1,1,1,4,101.3,139.4
filler,0,0,,1,1,1,5,,
90,16,21,N,1,1,1,6,93.8,124.1
136,15,6,O,1,2,1,7,98.5,75.6
77,6,7,L,1,2,1,8,81.5,42.4
129,0,0,NP,1,2,1,9,97.6,153.4
111,16,21,N,1,2,1,10,89.5,77.7
filler,0,0,,1,2,1,11,,
filler,0,0,,1,2,1,12,,
81,16,21,N,1,3,1,13,97.1,134.1
133,0,0,NP,1,3,1,14,105.1,102.1
filler,0,0,,1,3,1,15,,
55,6,7,L,1,3,1,16,103.2,129.3
filler,0,0,,1,3,1,17,,
72,6,7,L,1,3,1,18,94.3,86.8
filler,0,0,,1,4,1,19,,
26,7,24,A,1,4,1,20,75.8,35.4
filler,0,0,,1,4,1,21,,
102,16,21,N,1,4,1,22,107.9,116.4
161,17,15,R,1,4,1,23,90,64.4
105,16,21,N,1,4,1,24,107.9,45.3
98,16,21,N,1,5,1,25,116,186.5
110,16,21,N,1,5,1,26,116,150.8
filler,0,0,,1,5,1,27,,
151,24,1,Q,1,5,1,28,125.9,162.8
153,24,1,Q,1,5,1,29,111.2,151.8
29,7,24,A,1,5,1,30,,
26,7,24,A,1,6,1,31,86.2,53.2
112,16,21,N,1,6,1,32,103.7,136.1
25,7,24,A,1,6,1,33,109.8,137
99,16,21,N,1,6,1,34,104.6,113
123,16,21,N,1,6,1,35,127.8,237
filler,0,0,,1,6,1,36,,
50,6,7,L,1,7,1,37,109.4,94.8
filler,0,0,,1,7,1,38,,
filler,0,0,,1,7,1,39,,
125,16,21,N,1,7,1,40,68.3,16.3
filler,0,0,,1,7,1,41,,
154,24,1,Q,1,7,1,42,106.5,92.4
122,16,21,N,1,8,1,43,102.7,94.4
151,24,1,Q,1,8,1,44,116,137.5
161,17,15,R,1,8,1,45,106.5,145.9
filler,0,0,,1,8,1,46,,
72,6,7,L,1,8,1,47,96.6,99.4
41,23,13,K,1,8,1,48,98,117.5
filler,0,0,,1,1,2,1,,
41,23,13,K,1,1,2,2,114.5,239.4
159,17,15,R,1,1,2,3,90.5,98.5
136,15,6,O,1,1,2,4,100.9,109.1
135,0,0,NP,1,1,2,5,96.1,83.4
60,6,7,L,1,1,2,6,65.9,12.6
118,16,21,N,1,2,2,7,108.4,122.9
143,17,9,P,1,2,2,8,77.7,80.8
135,0,0,NP,1,2,2,9,100.4,103.1
122,16,21,N,1,2,2,10,99.4,102.2
54,6,7,L,1,2,2,11,91.4,99.4
filler,0,0,,1,2,2,12,,
27,7,24,A,1,3,2,13,106.5,109.1
146,24,1,Q,1,3,2,14,83.9,96.6
108,16,21,N,1,3,2,15,105.6,102.5
filler,0,0,,1,3,2,16,,
87,16,21,N,1,3,2,17,110.8,107.4
45,23,13,K,1,3,2,18,122.6,188.4
45,23,13,K,1,4,2,19,124.5,240.1
41,23,13,K,1,4,2,20,70.2,19.9
96,16,21,N,1,4,2,21,108.9,123.4
130,0,0,NP,1,4,2,22,100.4,120.1
filler,0,0,,1,4,2,23,,
filler,0,0,,1,4,2,24,,
53,6,7,L,1,5,2,25,113.1,76.5
filler,0,0,,1,5,2,26,,
41,23,13,K,1,5,2,27,109.4,123.9
filler,0,0,,1,5,2,28,,
111,16,21,N,1,5,2,29,107.9,116.4
46,23,13,K,1,5,2,30,112.2,235.1
47,23,13,K,1,6,2,31,96.1,115.4
55,6,7,L,1,6,2,32,114.5,149.1
filler,0,0,,1,6,2,33,,
110,16,21,N,1,6,2,34,113.6,168.7
118,16,21,N,1,6,2,35,95.7,42.9
131,0,0,NP,1,6,2,36,111.7,108.3
filler,0,0,,1,7,2,37,,
filler,0,0,,1,7,2,38,,
filler,0,0,,1,7,2,39,,
35,20,23,J,1,7,2,40,97.6,65.4
62,6,7,L,1,7,2,41,119.7,122.2
71,6,7,L,1,7,2,42,54.6,17.8
47,23,13,K,1,8,2,43,105.1,157.2
99,16,21,N,1,8,2,44,85.8,57
filler,0,0,,1,8,2,45,,
50,6,7,L,1,8,2,46,108.9,142.3
91,16,21,N,1,8,2,47,101.3,121.2
filler,0,0,,1,8,2,48,,
117,16,21,N,1,1,3,1,112.7,133.8
filler,0,0,,1,1,3,2,,
75,6,7,L,1,1,3,3,91.4,56.7
filler,0,0,,1,1,3,4,,
144,17,9,P,1,1,3,5,8.4,-24.1
115,16,21,N,1,1,3,6,79.6,41.2
filler,0,0,,1,2,3,7,,
filler,0,0,,1,2,3,8,,
filler,0,0,,1,2,3,9,,
123,16,21,N,1,2,3,10,113.6,122.2
55,6,7,L,1,2,3,11,96.1,69
filler,0,0,,1,2,3,12,,
54,6,7,L,1,3,3,13,91.9,89.6
filler,0,0,,1,3,3,14,,
filler,0,0,,1,3,3,15,,
125,16,21,N,1,3,3,16,103.7,79.6
101,16,21,N,1,3,3,17,111.2,132.2
49,6,7,L,1,3,3,18,114.1,148.6
143,17,9,P,1,4,3,19,89.1,107.5
144,17,9,P,1,4,3,20,82.9,55
79,16,21,N,1,4,3,21,90,78.1
74,6,7,L,1,4,3,22,64.5,2.5
29,7,24,A,1,4,3,23,,
68,6,7,L,1,4,3,24,106.5,115
73,6,7,L,1,5,3,25,113.6,205.7
52,6,7,L,1,5,3,26,108.9,63.8
filler,0,0,,1,5,3,27,,
filler,0,0,,1,5,3,28,,
150,24,1,Q,1,5,3,29,97.6,40
82,16,21,N,1,5,3,30,116,124.7
filler,0,0,,1,6,3,31,,
77,6,7,L,1,6,3,32,92.8,33.8
133,0,0,NP,1,6,3,33,102.7,59.8
69,6,7,L,1,6,3,34,107.5,93.2
filler,0,0,,1,6,3,35,,
filler,0,0,,1,6,3,36,,
126,16,21,N,1,7,3,37,106.1,126.4
150,24,1,Q,1,7,3,38,56.5,-9.1
139,15,6,O,1,7,3,39,111.7,145.7
filler,0,0,,1,7,3,40,,
72,6,7,L,1,7,3,41,85.8,61.2
121,16,21,N,1,7,3,42,95.2,92.7
153,24,1,Q,1,8,3,43,100.4,108.6
107,16,21,N,1,8,3,44,83.4,32.7
53,6,7,L,1,8,3,45,91.4,52.5
93,16,21,N,1,8,3,46,83.4,68
163,8,14,S,1,8,3,47,43.7,-14.2
97,16,21,N,1,8,3,48,102.3,88.7
filler,0,0,,1,1,4,1,,
149,24,1,Q,1,1,4,2,110.8,164.9
67,6,7,L,1,1,4,3,95.7,51
164,0,0,SP,1,1,4,4,85.3,65.1
137,15,6,O,1,1,4,5,52.7,7.3
filler,0,0,,1,1,4,6,,
filler,0,0,,1,2,4,7,,
104,16,21,N,1,2,4,8,107.5,104.3
41,23,13,K,1,2,4,9,90.9,120.7
35,20,23,J,1,2,4,10,95.2,87.6
52,6,7,L,1,2,4,11,107,98.3
80,16,21,N,1,2,4,12,101.8,83.2
143,17,9,P,1,3,4,13,82.5,95.1
131,0,0,NP,1,3,4,14,115.5,164.1
53,6,7,L,1,3,4,15,90.9,74.2
filler,0,0,,1,3,4,16,,
filler,0,0,,1,3,4,17,,
88,16,21,N,1,3,4,18,107.9,88.2
158,17,15,R,1,4,4,19,31.9,-19.9
84,16,21,N,1,4,4,20,132.5,236.1
32,6,0,G,1,4,4,21,96.6,88.9
125,16,21,N,1,4,4,22,118.8,140.6
113,16,21,N,1,4,4,23,118.8,147.4
159,17,15,R,1,4,4,24,114.1,169.3
128,0,0,NP,1,5,4,25,87.2,75.7
100,16,21,N,1,5,4,26,112.2,108.8
filler,0,0,,1,5,4,27,,
135,0,0,NP,1,5,4,28,106.1,103
69,6,7,L,1,5,4,29,120.2,163.1
filler,0,0,,1,5,4,30,,
filler,0,0,,1,6,4,31,,
30,7,24,A,1,6,4,32,100.9,126.6
141,17,9,P,1,6,4,33,91.4,89.2
filler,0,0,,1,6,4,34,,
76,6,7,L,1,6,4,35,105.6,108.2
119,16,21,N,1,6,4,36,86.7,79.9
157,17,15,R,1,7,4,37,78.7,55.9
48,0,0,KP,1,7,4,38,83.9,77.4
140,15,6,O,1,7,4,39,117.4,132.5
93,16,21,N,1,7,4,40,102.7,122.8
25,7,24,A,1,7,4,41,82.5,35.7
filler,0,0,,1,7,4,42,,
154,24,1,Q,1,8,4,43,103.7,123.8
43,23,13,K,1,8,4,44,92.8,100.9
filler,0,0,,1,8,4,45,,
56,6,7,L,1,8,4,46,97.6,74.8
104,16,21,N,1,8,4,47,104.6,96.2
filler,0,0,,1,8,4,48,,
filler,0,0,,1,1,5,1,,
80,16,21,N,1,1,5,2,105.1,137.8
127,0,0,NP,1,1,5,3,103.7,112
filler,0,0,,1,1,5,4,,
filler,0,0,,1,1,5,5,,
filler,0,0,,1,1,5,6,,
36,0,0,JP,1,2,5,7,93.3,49.6
48,0,0,KP,1,2,5,8,43.7,-3.7
58,6,7,L,1,2,5,9,97.1,74.4
147,24,1,Q,1,2,5,10,97.6,105.7
96,16,21,N,1,2,5,11,99.9,91.9
149,24,1,Q,1,2,5,12,117.4,166.6
61,6,7,L,1,3,5,13,82.9,32.4
37,0,0,JP,1,3,5,14,120.2,142.2
121,16,21,N,1,3,5,15,94.3,76.9
41,23,13,K,1,3,5,16,103.7,117.9
28,7,24,A,1,3,5,17,105.1,91.2
56,6,7,L,1,3,5,18,116.9,101.4
107,16,21,N,1,4,5,19,75.8,22.5
37,0,0,JP,1,4,5,20,117.4,119.8
filler,0,0,,1,4,5,21,,
filler,0,0,,1,4,5,22,,
filler,0,0,,1,4,5,23,,
50,6,7,L,1,4,5,24,103.2,89.6
141,17,9,P,1,5,5,25,102.3,140.6
164,0,0,SP,1,5,5,26,91.9,37.1
filler,0,0,,1,5,5,27,,
120,16,21,N,1,5,5,28,111.7,80.7
125,16,21,N,1,5,5,29,109.4,100.4
36,0,0,JP,1,5,5,30,80.1,12.6
144,17,9,P,1,6,5,31,93.3,85.9
51,6,7,L,1,6,5,32,107.5,104.3
33,8,9,H,1,6,5,33,82.5,16.3
152,24,1,Q,1,6,5,34,84.3,36.7
72,6,7,L,1,6,5,35,102.3,104.9
107,16,21,N,1,6,5,36,117.4,188.6
99,16,21,N,1,7,5,37,81.5,66.4
85,16,21,N,1,7,5,38,108.4,111
33,8,9,H,1,7,5,39,74,13.1
filler,0,0,,1,7,5,40,,
61,6,7,L,1,7,5,41,84.3,40.4
41,23,13,K,1,7,5,42,95.7,144.5
95,16,21,N,1,8,5,43,91.9,75
55,6,7,L,1,8,5,44,107.9,116.4
145,24,1,Q,1,8,5,45,107,82.2
60,6,7,L,1,8,5,46,86.2,61.6
filler,0,0,,1,8,5,47,,
filler,0,0,,1,8,5,48,,
filler,0,0,,1,1,6,1,,
63,6,7,L,1,1,6,2,107.9,93.6
97,16,21,N,1,1,6,3,111.2,165.5
filler,0,0,,1,1,6,4,,
34,20,23,J,1,1,6,5,100.4,103.1
150,24,1,Q,1,1,6,6,63.1,11.5
44,23,13,K,1,2,6,7,,
filler,0,0,,1,2,6,8,,
72,6,7,L,1,2,6,9,76.3,50.2
83,16,21,N,1,2,6,10,97.1,110.8
filler,0,0,,1,2,6,11,,
filler,0,0,,1,2,6,12,,
141,17,9,P,1,3,6,13,95.2,103.3
filler,0,0,,1,3,6,14,,
139,15,6,O,1,3,6,15,114.5,135.9
164,0,0,SP,1,3,6,16,111.2,145.2
161,17,15,R,1,3,6,17,100.9,120.6
filler,0,0,,1,3,6,18,,
75,6,7,L,1,4,6,19,122.6,173.3
67,6,7,L,1,4,6,20,97.1,65.1
43,23,13,K,1,4,6,21,133.4,246.5
88,16,21,N,1,4,6,22,113.6,148
149,24,1,Q,1,4,6,23,132,170.2
124,16,21,N,1,4,6,24,108.4,111
93,16,21,N,1,5,6,25,109.4,184.2
129,0,0,NP,1,5,6,26,94.3,81.8
78,6,7,L,1,5,6,27,124.9,184
filler,0,0,,1,5,6,28,,
76,6,7,L,1,5,6,29,122.6,131.4
48,0,0,KP,1,5,6,30,100.4,103.1
121,16,21,N,1,6,6,31,93.8,71.8
103,16,21,N,1,6,6,32,97.1,79.3
105,16,21,N,1,6,6,33,116.9,195.5
164,0,0,SP,1,6,6,34,104.2,130.4
89,16,21,N,1,6,6,35,116,106.4
79,16,21,N,1,6,6,36,126.8,163.9
filler,0,0,,1,7,6,37,,
80,16,21,N,1,7,6,38,110.3,131.2
106,16,21,N,1,7,6,39,100.9,132.6
52,6,7,L,1,7,6,40,103.7,112
filler,0,0,,1,7,6,41,,
127,0,0,NP,1,7,6,42,111.7,102.5
144,17,9,P,1,8,6,43,83.9,86.8
filler,0,0,,1,8,6,44,,
filler,0,0,,1,8,6,45,,
140,15,6,O,1,8,6,46,120.2,170.3
45,23,13,K,1,8,6,47,90.9,65.1
100,16,21,N,1,8,6,48,106.1,92
54,6,7,L,1,1,7,1,74.9,41.9
filler,0,0,,1,1,7,2,,
46,23,13,K,1,1,7,3,92.8,117.3
29,7,24,A,1,1,7,4,,
58,6,7,L,1,1,7,5,85.8,48.9
151,24,1,Q,1,1,7,6,116.4,138
89,16,21,N,1,2,7,7,92.4,95.2
137,15,6,O,1,2,7,8,86.7,79.9
101,16,21,N,1,2,7,9,96.6,94.1
60,6,7,L,1,2,7,10,87.6,42.3
filler,0,0,,1,2,7,11,,
100,16,21,N,1,2,7,12,110.8,131.7
140,15,6,O,1,3,7,13,113.6,116.1
71,6,7,L,1,3,7,14,89.1,72.7
59,6,7,L,1,3,7,15,87.6,46.1
62,6,7,L,1,3,7,16,118.3,140.1
57,6,7,L,1,3,7,17,,
50,6,7,L,1,3,7,18,117.8,102.2
51,6,7,L,1,4,7,19,124,198.2
47,23,13,K,1,4,7,20,117.8,167.2
filler,0,0,,1,4,7,21,,
filler,0,0,,1,4,7,22,,
filler,0,0,,1,4,7,23,,
filler,0,0,,1,4,7,24,,
filler,0,0,,1,5,7,25,,
103,16,21,N,1,5,7,26,110.3,112.9
filler,0,0,,1,5,7,27,,
83,16,21,N,1,5,7,28,122.1,144.3
137,15,6,O,1,5,7,29,126.3,209.7
filler,0,0,,1,5,7,30,,
132,0,0,NP,1,6,7,31,99.9,108.2
37,0,0,JP,1,6,7,32,109.4,111.9
39,23,13,K,1,6,7,33,117.8,139.6
filler,0,0,,1,6,7,34,,
59,6,7,L,1,6,7,35,105.1,137.8
filler,0,0,,1,6,7,36,,
96,16,21,N,1,7,7,37,79.1,56.2
115,16,21,N,1,7,7,38,62.6,11.3
98,16,21,N,1,7,7,39,99,107.2
160,17,15,R,1,7,7,40,80.6,70
filler,0,0,,1,7,7,41,,
123,16,21,N,1,7,7,42,113.1,175.2
26,7,24,A,1,8,7,43,87.2,71.1
90,16,21,N,1,8,7,44,92.8,106.2
59,6,7,L,1,8,7,45,99.9,91.9
filler,0,0,,1,8,7,46,,
162,17,15,R,1,8,7,47,78.2,55.5
127,0,0,NP,1,8,7,48,75.8,38.9
40,23,13,K,1,1,8,1,93.8,118.4
33,8,9,H,1,1,8,2,67.8,-4.9
107,16,21,N,1,1,8,3,111.7,114.2
filler,0,0,,1,1,8,4,,
filler,0,0,,1,1,8,5,,
55,6,7,L,1,1,8,6,96.1,121.1
108,16,21,N,1,2,8,7,101.8,115.8
filler,0,0,,1,2,8,8,,
filler,0,0,,1,2,8,9,,
164,0,0,SP,1,2,8,10,100.9,58.6
87,16,21,N,1,2,8,11,99.9,119.6
88,16,21,N,1,2,8,12,107.9,147.7
120,16,21,N,1,3,8,13,104.2,75
160,17,15,R,1,3,8,14,102.3,128.2
137,15,6,O,1,3,8,15,117.4,181.1
129,0,0,NP,1,3,8,16,99.4,119.1
filler,0,0,,1,3,8,17,,
filler,0,0,,1,3,8,18,,
90,16,21,N,1,4,8,19,106.5,115
70,6,7,L,1,4,8,20,105.6,132.1
filler,0,0,,1,4,8,21,,
98,16,21,N,1,4,8,22,107,103.9
filler,0,0,,1,4,8,23,,
100,16,21,N,1,4,8,24,124.9,120.8
filler,0,0,,1,5,8,25,,
99,16,21,N,1,5,8,26,110.8,138.1
filler,0,0,,1,5,8,27,,
43,23,13,K,1,5,8,28,130.1,223.7
