site,block,female,male,height,rust,volume
1,1,C1001,0,17.5,0,38.52
1,1,C1002,0,12.5,0,16.34
1,1,C1003,0,12.9,0,16.75
1,1,C1004,0,16.6,0,36.71
1,1,C1005,0,14.8,1,21.51
1,1,C1006,0,15.5,0,23.92
1,1,C1007,0,17,1,39.68
1,1,C1009,0,12,0,13.75
1,1,C10010,0,14.7,1,22.86
1,1,C10011,0,14.2,0,19.41
1,1,C10012,0,16.2,0,28.28
1,1,C10013,0,14,0,19.19
1,1,C10014,0,13,0,14.62
1,1,C10015,0,16.5,0,23.6
1,1,C10016,0,14,0,21.93
1,1,C10017,0,14,0,19.19
1,1,C10018,0,12.3,0,13.02
1,1,C10020,0,17,0,35.41
1,1,C10021,0,14.1,0,15.57
1,1,C10022,0,14,0,24.9
1,1,C10023,0,16.9,0,39.47
1,1,C10024,0,15,0,20.32
1,1,C10025,0,12.5,0,16.34
1,1,C10026,0,16.4,0,21.9
1,1,C10027,0,15.2,1,33.9
1,1,C10028,0,14.2,1,16.85
1,1,C10029,0,17.5,0,34.26
1,1,C10030,0,15.2,0,23.52
1,1,C10031,0,16.4,0,32.32
1,1,C10032,0,14.4,0,25.51
1,1,C10033,0,13,1,14.62
1,1,C10034,0,14,1,20.53
1,1,C10035,0,16.2,0,30.09
1,1,C10036,0,15.9,0,26.1
1,1,C10037,0,16,0,22.98
1,1,C10038,0,16,0,21.45
1,1,C10039,0,15.3,1,25.25
1,1,C10040,0,15.6,1,20.99
1,1,C10041,0,16.5,1,19.03
1,1,C10042,0,13.5,0,19.92
1,1,C10043,0,12,0,13.75
1,1,C10044,0,14,0,16.66
1,1,C10045,0,15.3,1,20.66
1,1,C10046,0,15.3,0,25.25
1,1,C10047,0,16.2,1,31.97
1,1,C10048,0,14,0,23.39
1,1,C10756,0,16.1,1,24.72
1,1,C17100,0,15.6,0,27.36
1,1,C10049,0,15.2,0,25.1
1,1,C10050,0,15.5,1,20.88
1,1,C10051,0,15,0,18.93
1,1,C10052,0,12.7,1,12.36
1,1,C10053,0,11.5,1,16.36
1,1,C10054,0,16.5,1,32.5
1,1,C10055,0,14.5,1,19.75
1,1,C10056,0,14,1,24.9
1,1,C10057,0,14.4,0,22.46
1,1,C10058,0,14,0,21.93
1,1,C10059,0,14.9,0,24.67
1,1,C10060,0,14,1,21.93
1,1,c10061,0,16.1,0,33.72
1,1,C10062,0,17.2,0,26.18
1,1,C10063,0,15.5,0,20.88
1,1,C10064,0,16.5,1,28.74
1,1,C10065,0,15.9,0,33.34
1,1,C10066,0,15.4,1,23.79
1,1,C10067,0,16.5,0,28.74
1,1,C10068,0,14.4,1,19.64
1,1,C10069,0,13.2,0,18.28
1,1,C10070,0,16.6,0,22.12
1,1,C10071,0,15.3,0,25.25
1,1,C10072,0,16.5,0,28.74
1,1,C10073,0,18.6,0,36.2
1,1,C10074,0,13.2,1,13.73
1,2,C1001,0,14.5,0,25.67
1,2,C1002,0,15.2,1,22
1,2,C1003,0,14,0,19.19
1,2,C1004,0,16.5,0,28.74
1,2,C1005,0,16.5,0,28.74
1,2,C1006,0,17.5,1,28.39
1,2,C1007,0,17.2,0,37.91
