TREE,FEMALE,MALE,CROSS,SITE,BLOCK,density
1A11,590,626,590626,1,1,424.9
1A12,590,626,590626,1,1,414.5
1A13,590,626,590626,1,1,394.3
1A14,590,626,590626,1,1,352.4
1A15,590,626,590626,1,1,438.8
1A16,590,626,590626,1,1,407.4
1B11,590,634,590634,1,1,387.8
1B12,590,634,590634,1,1,409.5
1B13,590,634,590634,1,1,408.4
1B14,590,634,590634,1,1,386.2
1B15,590,634,590634,1,1,393.5
1C12,590,652,590652,1,1,406.0
1C13,590,652,590652,1,1,386.0
1C14,590,652,590652,1,1,414.5
1C15,590,652,590652,1,1,411.1
1C16,590,652,590652,1,1,394.4
1D12,612,590,612590,1,1,398.6
1D13,612,590,612590,1,1,380.1
1D15,612,590,612590,1,1,422.4
1D16,612,590,612590,1,1,382.6
1E11,612,634,612634,1,1,435.2
1E13,612,634,612634,1,1,423.0
1E14,612,634,612634,1,1,431.6
1E16,612,634,612634,1,1,364.4
1F11,612,652,612652,1,1,406.1
1F12,612,652,612652,1,1,398.9
1F13,612,652,612652,1,1,414.6
1F14,612,652,612652,1,1,399.1
1F15,612,652,612652,1,1,423.2
1F16,612,652,612652,1,1,408.2
1G12,626,634,626634,1,1,414.5
1G13,626,634,626634,1,1,400.8
1G14,626,634,626634,1,1,386.7
1G15,626,634,626634,1,1,394.9
1G16,626,634,626634,1,1,392.8
1H11,649,590,649590,1,1,438.6
1H12,649,590,649590,1,1,429.8
1H14,649,590,649590,1,1,438.5
1H15,649,590,649590,1,1,448.7
1H16,649,590,649590,1,1,410.5
1I11,649,612,649612,1,1,405.1
1I12,649,612,649612,1,1,426.3
1I13,649,612,649612,1,1,446.7
1I14,649,612,649612,1,1,430.3
1I15,649,612,649612,1,1,401.9
1J11,649,626,649626,1,1,403.7
1J12,649,626,649626,1,1,417.1
1J13,649,626,649626,1,1,435.2
1J14,649,626,649626,1,1,378.5
1J16,649,626,649626,1,1,403.6
1K11,649,634,649634,1,1,413.3
1K12,649,634,649634,1,1,416.7
1K13,649,634,649634,1,1,444.1
1K14,649,634,649634,1,1,422.0
1K15,649,634,649634,1,1,429.2
1L11,649,652,649652,1,1,458.0
1L12,649,652,649652,1,1,410.7
1L14,649,652,649652,1,1,423.7
1L15,649,652,649652,1,1,418.8
1M11,652,626,652626,1,1,441.3
1M12,652,626,652626,1,1,367.6
1M15,652,626,652626,1,1,431.3
1N11,652,634,652634,1,1,385.8
1N12,652,634,652634,1,1,398.8
1N13,652,634,652634,1,1,407.3
1N14,652,634,652634,1,1,393.9
1N15,652,634,652634,1,1,397.8
1A21,590,626,590626,1,2,403.2
1A22,590,626,590626,1,2,404.7
1A23,590,626,590626,1,2,415.9
1A24,590,626,590626,1,2,409.1
1B23,590,634,590634,1,2,362.8
1B24,590,634,590634,1,2,370.3
1B26,590,634,590634,1,2,399.5
1C21,590,652,590652,1,2,406.0
1C22,590,652,590652,1,2,419.5
1C23,590,652,590652,1,2,415.4
1C25,590,652,590652,1,2,414.5
1C26,590,652,590652,1,2,436.2
1D21,612,590,612590,1,2,416.9
1D22,612,590,612590,1,2,407.7
1D23,612,590,612590,1,2,418.6
1D24,612,590,612590,1,2,394.1
1D25,612,590,612590,1,2,416.5
1E21,612,634,612634,1,2,397.1
1E23,612,634,612634,1,2,508.4
1E25,612,634,612634,1,2,392.4
1E26,612,634,612634,1,2,421.4
1F21,612,652,612652,1,2,400.2
1F23,612,652,612652,1,2,420.9
1F24,612,652,612652,1,2,411.8
1F25,612,652,612652,1,2,428.5
1F26,612,652,612652,1,2,400.7
1G21,626,634,626634,1,2,404.7
1G22,626,634,626634,1,2,365.4
1G23,626,634,626634,1,2,384.5
1G24,626,634,626634,1,2,384.2
1G25,626,634,626634,1,2,421.4
1G26,626,634,626634,1,2,404.8
1H21,649,590,649590,1,2,413.7
1H22,649,590,649590,1,2,468.5
1H23,649,590,649590,1,2,443.4
1H24,649,590,649590,1,2,454.2
1H25,649,590,649590,1,2,447.8
1I21,649,612,649612,1,2,447.8
1I22,649,612,649612,1,2,419.9
1I23,649,612,649612,1,2,403.2
1I24,649,612,649612,1,2,445.8
1I25,649,612,649612,1,2,425.7
1I26,649,612,649612,1,2,414.4
1J21,649,626,649626,1,2,415.6
1J22,649,626,649626,1,2,438.1
1J24,649,626,649626,1,2,430.6
1K21,649,634,649634,1,2,399.0
1K22,649,634,649634,1,2,423.4
1K24,649,634,649634,1,2,407.5
1K25,649,634,649634,1,2,383.1
1K26,649,634,649634,1,2,358.2
1L21,649,652,649652,1,2,435.8
1L23,649,652,649652,1,2,408.8
1L24,649,652,649652,1,2,432.6
1L25,649,652,649652,1,2,431.7
1L26,649,652,649652,1,2,395.6
1M21,652,626,652626,1,2,372.9
1M22,652,626,652626,1,2,420.0
1M23,652,626,652626,1,2,397.4
1M24,652,626,652626,1,2,378.5
1M25,652,626,652626,1,2,421.8
1N24,652,634,652634,1,2,404.3
1N25,652,634,652634,1,2,403.3
1N26,652,634,652634,1,2,387.7
1A31,590,626,590626,1,3,367.1
1A33,590,626,590626,1,3,408.1
1A34,590,626,590626,1,3,379.2
1B31,590,634,590634,1,3,385.2
1B32,590,634,590634,1,3,403.9
1B33,590,634,590634,1,3,384.6
1B36,590,634,590634,1,3,403.3
1C31,590,652,590652,1,3,385.4
1C32,590,652,590652,1,3,412.2
1C33,590,652,590652,1,3,391.5
1C34,590,652,590652,1,3,382.0
1C35,590,652,590652,1,3,419.7
1D31,612,590,612590,1,3,378.1
1D32,612,590,612590,1,3,430.6
1D33,612,590,612590,1,3,436.7
1D34,612,590,612590,1,3,430.7
1D35,612,590,612590,1,3,409.5
1D36,612,590,612590,1,3,409.9
1E31,612,634,612634,1,3,408.0
1E32,612,634,612634,1,3,386.0
1E33,612,634,612634,1,3,452.5
1E34,612,634,612634,1,3,410.4
1E35,612,634,612634,1,3,390.4
1E36,612,634,612634,1,3,424.7
1F31,612,652,612652,1,3,407.0
1F32,612,652,612652,1,3,427.0
1F33,612,652,612652,1,3,416.5
1F34,612,652,612652,1,3,400.9
1F35,612,652,612652,1,3,416.1
1F36,612,652,612652,1,3,439.6
1G32,626,634,626634,1,3,362.4
1G34,626,634,626634,1,3,404.3
1G35,626,634,626634,1,3,372.9
1G36,626,634,626634,1,3,395.3
1H31,649,590,649590,1,3,379.3
1H32,649,590,649590,1,3,457.5
1H35,649,590,649590,1,3,407.1
1H36,649,590,649590,1,3,424.1
1I31,649,612,649612,1,3,432.7
1I32,649,612,649612,1,3,421.9
1I33,649,612,649612,1,3,415.4
1I34,649,612,649612,1,3,429.1
1I35,649,612,649612,1,3,418.6
1I36,649,612,649612,1,3,443.9
1J31,649,626,649626,1,3,411.1
1J32,649,626,649626,1,3,426.5
1K32,649,634,649634,1,3,418.2
1K33,649,634,649634,1,3,448.8
1K34,649,634,649634,1,3,370.3
1K35,649,634,649634,1,3,401.5
1K36,649,634,649634,1,3,371.0
1L31,649,652,649652,1,3,413.9
1L32,649,652,649652,1,3,455.6
1L33,649,652,649652,1,3,423.9
1L34,649,652,649652,1,3,453.6
1L36,649,652,649652,1,3,409.0
1M32,652,626,652626,1,3,389.6
1M33,652,626,652626,1,3,392.0
1M34,652,626,652626,1,3,468.7
1M35,652,626,652626,1,3,333.6
1N31,652,634,652634,1,3,389.2
1N32,652,634,652634,1,3,395.2
1N33,652,634,652634,1,3,390.9
1A41,590,626,590626,1,4,387.2
1A42,590,626,590626,1,4,415.4
1A43,590,626,590626,1,4,381.3
1A44,590,626,590626,1,4,405.6
1A45,590,626,590626,1,4,375.6
1A46,590,626,590626,1,4,346.8
1B41,590,634,590634,1,4,391.4
1B42,590,634,590634,1,4,366.4
1B43,590,634,590634,1,4,400.9
1B44,590,634,590634,1,4,422.0
1B45,590,634,590634,1,4,405.0
1B46,590,634,590634,1,4,429.2
1C41,590,652,590652,1,4,432.0
1C42,590,652,590652,1,4,411.0
1C43,590,652,590652,1,4,409.8
1C44,590,652,590652,1,4,384.3
1C45,590,652,590652,1,4,356.6
1C46,590,652,590652,1,4,401.3
1D41,612,590,612590,1,4,403.8
1D42,612,590,612590,1,4,437.8
1D43,612,590,612590,1,4,392.8
1D44,612,590,612590,1,4,428.3
1D45,612,590,612590,1,4,404.7
1D46,612,590,612590,1,4,430.1
1E41,612,634,612634,1,4,394.2
1E42,612,634,612634,1,4,445.3
1E43,612,634,612634,1,4,417.9
1E44,612,634,612634,1,4,399.3
1E45,612,634,612634,1,4,423.9
1F41,612,652,612652,1,4,404.8
1F42,612,652,612652,1,4,421.5
1F44,612,652,612652,1,4,443.1
1F46,612,652,612652,1,4,383.3
1G41,626,634,626634,1,4,385.8
1G42,626,634,626634,1,4,405.3
1G45,626,634,626634,1,4,392.2
1G46,626,634,626634,1,4,416.1
1H41,649,590,649590,1,4,431.4
1H42,649,590,649590,1,4,372.2
1H44,649,590,649590,1,4,444.3
1H45,649,590,649590,1,4,426.0
1H46,649,590,649590,1,4,453.2
1I41,649,612,649612,1,4,457.1
1I42,649,612,649612,1,4,407.7
1I43,649,612,649612,1,4,408.1
1I46,649,612,649612,1,4,372.0
1J41,649,626,649626,1,4,446.0
1J42,649,626,649626,1,4,410.3
1J46,649,626,649626,1,4,401.3
1K42,649,634,649634,1,4,382.2
1K43,649,634,649634,1,4,393.7
1K45,649,634,649634,1,4,353.5
1L42,649,652,649652,1,4,425.0
1L44,649,652,649652,1,4,426.5
1L45,649,652,649652,1,4,406.6
1M42,652,626,652626,1,4,411.2
1M44,652,626,652626,1,4,438.3
1M46,652,626,652626,1,4,398.5
1N41,652,634,652634,1,4,401.0
1N43,652,634,652634,1,4,374.1
1N44,652,634,652634,1,4,328.5
1N45,652,634,652634,1,4,409.4
1N46,652,634,652634,1,4,372.6
1A52,590,626,590626,1,5,433.1
1A53,590,626,590626,1,5,420.1
1A54,590,626,590626,1,5,372.1
1A55,590,626,590626,1,5,428.7
1A56,590,626,590626,1,5,431.4
