TREE,FEMALE,MALE
333,0,0
590,333,0
626,0,333
634,0,0
652,0,0
612,0,0
649,0,0
1A11,590,626
1A12,590,626
1A13,590,626
1A14,590,626
1A15,590,626
1A16,590,626
1B11,590,634
1B12,590,634
1B13,590,634
1B14,590,634
1B15,590,634
1C12,590,652
1C13,590,652
1C14,590,652
1C15,590,652
1C16,590,652
1D12,612,590
1D13,612,590
1D15,612,590
1D16,612,590
1E11,612,634
1E13,612,634
1E14,612,634
1E16,612,634
1F11,612,652
1F12,612,652
1F13,612,652
1F14,612,652
1F15,612,652
1F16,612,652
1G12,626,634
1G13,626,634
1G14,626,634
1G15,626,634
1G16,626,634
1H11,649,590
1H12,649,590
1H14,649,590
1H15,649,590
1H16,649,590
1I11,649,612
1I12,649,612
1I13,649,612
1I14,649,612
1I15,649,612
1J11,649,626
1J12,649,626
1J13,649,626
1J14,649,626
1J16,649,626
1K11,649,634
1K12,649,634
1K13,649,634
1K14,649,634
1K15,649,634
1L11,649,652
1L12,649,652
1L14,649,652
1L15,649,652
1M11,652,626
1M12,652,626
1M15,652,626
1N11,652,634
1N12,652,634
1N13,652,634
1N14,652,634
1N15,652,634
1A21,590,626
1A22,590,626
1A23,590,626
1A24,590,626
1B23,590,634
1B24,590,634
1B26,590,634
1C21,590,652
1C22,590,652
1C23,590,652
1C25,590,652
1C26,590,652
1D21,612,590
1D22,612,590
1D23,612,590
1D24,612,590
1D25,612,590
1E21,612,634
1E23,612,634
1E25,612,634
1E26,612,634
1F21,612,652
1F23,612,652
1F24,612,652
1F25,612,652
1F26,612,652
1G21,626,634
1G22,626,634
1G23,626,634
1G24,626,634
1G25,626,634
1G26,626,634
1H21,649,590
1H22,649,590
1H23,649,590
1H24,649,590
1H25,649,590
1I21,649,612
1I22,649,612
1I23,649,612
1I24,649,612
1I25,649,612
1I26,649,612
1J21,649,626
1J22,649,626
1J24,649,626
1K21,649,634
1K22,649,634
1K24,649,634
1K25,649,634
1K26,649,634
1L21,649,652
1L23,649,652
1L24,649,652
1L25,649,652
1L26,649,652
1M21,652,626
1M22,652,626
1M23,652,626
1M24,652,626
1M25,652,626
1N24,652,634
1N25,652,634
1N26,652,634
1A31,590,626
1A33,590,626
1A34,590,626
1B31,590,634
1B32,590,634
1B33,590,634
1B36,590,634
1C31,590,652
1C32,590,652
1C33,590,652
1C34,590,652
1C35,590,652
1D31,612,590
1D32,612,590
1D33,612,590
1D34,612,590
1D35,612,590
1D36,612,590
1E31,612,634
1E32,612,634
1E33,612,634
1E34,612,634
1E35,612,634
1E36,612,634
1F31,612,652
1F32,612,652
1F33,612,652
1F34,612,652
1F35,612,652
1F36,612,652
1G32,626,634
1G34,626,634
1G35,626,634
1G36,626,634
1H31,649,590
1H32,649,590
1H35,649,590
1H36,649,590
1I31,649,612
1I32,649,612
1I33,649,612
1I34,649,612
1I35,649,612
1I36,649,612
1J31,649,626
1J32,649,626
1K32,649,634
1K33,649,634
1K34,649,634
1K35,649,634
1K36,649,634
1L31,649,652
1L32,649,652
1L33,649,652
1L34,649,652
1L36,649,652
1M32,652,626
1M33,652,626
1M34,652,626
1M35,652,626
1N31,652,634
1N32,652,634
1N33,652,634
1A41,590,626
1A42,590,626
1A43,590,626
1A44,590,626
1A45,590,626
1A46,590,626
1B41,590,634
1B42,590,634
1B43,590,634
1B44,590,634
1B45,590,634
1B46,590,634
1C41,590,652
1C42,590,652
1C43,590,652
1C44,590,652
1C45,590,652
1C46,590,652
1D41,612,590
1D42,612,590
1D43,612,590
1D44,612,590
1D45,612,590
1D46,612,590
1E41,612,634
1E42,612,634
1E43,612,634
1E44,612,634
1E45,612,634
1F41,612,652
1F42,612,652
1F44,612,652
1F46,612,652
1G41,626,634
1G42,626,634
1G45,626,634
1G46,626,634
1H41,649,590
1H42,649,590
1H44,649,590
1H45,649,590
1H46,649,590
1I41,649,612
1I42,649,612
1I43,649,612
1I46,649,612
1J41,649,626
1J42,649,626
1J46,649,626
1K42,649,634
1K43,649,634
1K45,649,634
1L42,649,652
1L44,649,652
1L45,649,652
1M42,652,626
1M44,652,626
1M46,652,626
1N41,652,634
1N43,652,634
1N44,652,634
1N45,652,634
1N46,652,634
1A52,590,626
1A53,590,626
1A54,590,626
1A55,590,626
1A56,590,626
1B51,590,634
1B52,590,634
1B54,590,634
1C51,590,652
1C52,590,652
1C53,590,652
1C54,590,652
1C56,590,652
1D51,612,590
