Year,Progeny,female,male,cross,r,DTA,PltHt
2013,1,171_11,170_1,170_1x171_11,-1,72,270
2013,2,167_5,164_14,164_14x167_5,-1,76,250
2013,5,164_2,166_12,164_2x166_12,1,72,265
2013,6,165_4,166_11,165_4x166_11,1,85,195
2013,8,171_10,164_8,164_8x171_10,-1,67,225
2013,9,170_4,171_5,170_4x171_5,1,73,215
2013,10,167_5,164_1,164_1x167_5,-1,73,240
2013,11,167_8,171_10,167_8x171_10,1,76,205
2013,12,166_9,164_1,164_1x166_9,-1,72,235
2013,15,164_11,165_10,164_11x165_10,1,75,205
2013,17,171_6,165_10,165_10x171_6,-1,85,175
2013,18,165_4,167_3,165_4x167_3,1,85,265
2013,22,166_12,164_2,164_2x166_12,-1,77,195
2013,23,167_5,164_1,164_1x167_5,-1,76,225
2013,25,169_6,166_9,166_9x169_6,-1,74,235
2013,26,165_6,166_12,165_6x166_12,1,84,215
2013,27,171_11,170_1,170_1x171_11,-1,73,225
2013,28,171_6,165_10,165_10x171_6,-1,85,200
2013,29,171_6,165_10,165_10x171_6,-1,75,235
2013,30,165_7,166_10,165_7x166_10,1,81,155
2013,31,167_8,164_8,164_8x167_8,-1,72,265
2013,33,169_6,164_1,164_1x169_6,-1,74,250
2013,37,166_9,164_1,164_1x166_9,-1,75,225
2013,38,165_4,166_11,165_4x166_11,1,77,230
2013,40,164_11,167_1,164_11x167_1,1,NA,NA
2013,41,171_5,170_7,170_7x171_5,-1,72,250
2013,42,171_5,170_7,170_7x171_5,-1,NA,NA
2013,43,165_4,166_11,165_4x166_11,1,76,205
2013,44,170_1,171_11,170_1x171_11,1,73,240
2013,45,171_5,170_4,170_4x171_5,-1,72,220
2013,46,171_8,168_2,168_2x171_8,-1,75,230
2013,47,169_11,170_7,169_11x170_7,1,76,230
2013,48,170_6,170_2,170_2x170_6,-1,94,155
2013,49,171_6,165_10,165_10x171_6,-1,86,205
2013,50,164_14,164_1,164_1x164_14,-1,74,235
2013,52,170_6,170_11,170_11x170_6,-1,75,250
2013,53,169_6,164_1,164_1x169_6,-1,75,210
2013,54,164_1,169_6,164_1x169_6,1,80,250
2013,58,171_4,171_7,171_4x171_7,1,85,220
2013,59,164_14,166_9,164_14x166_9,1,74,230
2013,62,171_8,168_2,168_2x171_8,-1,78,225
2013,66,170_2,171_9,170_2x171_9,1,74,260
2013,71,169_11,170_4,169_11x170_4,1,NA,NA
2013,72,165_6,166_12,165_6x166_12,1,72,245
2013,73,164_11,171_6,164_11x171_6,1,73,220
2013,75,164_14,164_1,164_1x164_14,-1,77,230
2013,76,170_1,171_11,170_1x171_11,1,81,220
2013,79,164_1,166_9,164_1x166_9,1,77,255
2013,84,170_6,170_2,170_2x170_6,-1,80,220
2013,85,170_6,170_2,170_2x170_6,-1,78,260
2013,87,164_8,167_8,164_8x167_8,1,71,NA
2013,88,169_11,171_13,169_11x171_13,1,73,225
2013,89,171_5,170_7,170_7x171_5,-1,76,265
2013,92,167_5,166_9,166_9x167_5,-1,72,240
2013,96,164_11,167_1,164_11x167_1,1,73,210
2013,99,171_9,170_2,170_2x171_9,-1,77,230
2013,103,164_14,164_1,164_1x164_14,-1,NA,85
2013,105,171_9,170_2,170_2x171_9,-1,76,250
2013,107,166_9,169_6,166_9x169_6,1,NA,NA
2013,108,164_2,166_12,164_2x166_12,1,72,260
2013,115,166_9,164_1,164_1x166_9,-1,74,240
2013,117,167_3,165_4,165_4x167_3,-1,81,215
2013,118,171_4,171_7,171_4x171_7,1,74,245
2013,119,164_11,167_1,164_11x167_1,1,72,210
2013,120,165_4,167_3,165_4x167_3,1,79,225
2013,122,169_6,166_9,166_9x169_6,-1,NA,NA
2013,127,169_6,164_1,164_1x169_6,-1,76,240
2013,129,164_8,167_8,164_8x167_8,1,70,NA
2013,130,171_10,164_8,164_8x171_10,-1,75,220
2013,131,170_1,167_6,167_6x170_1,-1,73,265
2013,132,171_6,165_10,165_10x171_6,-1,75,245
2013,133,167_12,167_13,167_12x167_13,1,72,245
2013,134,164_2,166_12,164_2x166_12,1,73,215
2013,135,164_14,169_6,164_14x169_6,1,72,250
2013,136,164_14,166_9,164_14x166_9,1,71,210
2013,138,164_2,166_12,164_2x166_12,1,75,215
2013,139,167_13,167_12,167_12x167_13,-1,74,205
2013,140,169_6,164_1,164_1x169_6,-1,75,240
2013,141,168_5,171_7,168_5x171_7,1,73,250
2013,142,171_6,167_1,167_1x171_6,-1,75,230
2013,143,171_11,170_1,170_1x171_11,-1,75,215
2013,144,170_2,170_6,170_2x170_6,1,88,195
2013,145,164_4,167_3,164_4x167_3,1,78,195
2013,146,166_12,165_6,165_6x166_12,-1,70,230
2013,147,170_1,167_6,167_6x170_1,-1,72,255
2013,148,164_14,164_1,164_1x164_14,-1,75,235
2013,149,166_3,166_12,166_12x166_3,-1,67,220
2013,154,166_3,166_12,166_12x166_3,-1,74,240
2013,155,169_6,166_9,166_9x169_6,-1,68,235
2013,157,164_14,164_1,164_1x164_14,-1,78,230
2013,158,170_7,171_13,170_7x171_13,1,73,270
2013,159,171_6,165_10,165_10x171_6,-1,80,250
2013,161,164_4,166_11,164_4x166_11,1,76,245
2013,166,165_4,166_11,165_4x166_11,1,76,240
2013,168,171_8,167_13,167_13x171_8,-1,75,250
2013,169,170_7,171_5,170_7x171_5,1,76,230
2013,170,164_2,165_6,164_2x165_6,1,74,240
2013,172,170_1,167_6,167_6x170_1,-1,77,265
2013,173,170_2,170_6,170_2x170_6,1,NA,NA
2013,175,164_14,169_6,164_14x169_6,1,75,270
2013,179,170_11,170_2,170_11x170_2,1,80,250
2013,180,171_4,171_7,171_4x171_7,1,75,220
2013,185,165_6,166_12,165_6x166_12,1,73,220
2013,187,164_8,171_10,164_8x171_10,1,71,245
2013,188,171_11,167_9,167_9x171_11,-1,76,245
2013,190,167_3,166_11,166_11x167_3,-1,79,250
2013,191,164_2,166_12,164_2x166_12,1,73,195
2013,193,166_9,164_1,164_1x166_9,-1,74,235
2013,196,166_9,164_1,164_1x166_9,-1,78,210
2013,197,164_14,166_9,164_14x166_9,1,71,250
2013,198,171_4,171_7,171_4x171_7,1,78,230
2013,199,171_8,167_12,167_12x171_8,-1,74,285
2013,200,171_11,170_1,170_1x171_11,-1,74,215
2013,202,169_11,171_13,169_11x171_13,1,72,NA
2013,203,164_11,165_10,164_11x165_10,1,NA,NA
2013,206,164_11,167_1,164_11x167_1,1,73,245
2013,210,169_11,171_13,169_11x171_13,1,75,235
2013,211,165_7,166_10,165_7x166_10,1,89,NA
2013,212,170_6,170_2,170_2x170_6,-1,81,250
2013,213,164_4,166_11,164_4x166_11,1,71,245
2013,214,167_12,167_13,167_12x167_13,1,81,200
2013,215,170_6,170_2,170_2x170_6,-1,81,270
2013,219,164_11,165_10,164_11x165_10,1,73,250
2013,220,164_2,165_6,164_2x165_6,1,73,250
2013,222,168_5,171_7,168_5x171_7,1,76,250
2013,223,170_1,171_11,170_1x171_11,1,73,275
2013,224,166_3,166_12,166_12x166_3,-1,73,260
2013,226,168_5,171_4,168_5x171_4,1,79,235
2013,227,171_8,167_13,167_13x171_8,-1,73,245
2013,229,165_6,166_12,165_6x166_12,1,72,260
2013,230,166_10,166_8,166_10x166_8,1,73,240
2013,231,164_2,166_12,164_2x166_12,1,69,245
2013,232,164_14,169_6,164_14x169_6,1,72,255
2013,235,164_4,165_4,164_4x165_4,1,80,235
2013,236,169_11,171_5,169_11x171_5,1,72,270
2013,237,164_14,166_9,164_14x166_9,1,77,NA
2013,238,171_11,170_1,170_1x171_11,-1,74,205
2013,239,171_5,169_11,169_11x171_5,-1,70,285
2013,240,170_6,170_11,170_11x170_6,-1,89,105
2013,241,164_11,167_1,164_11x167_1,1,72,245
2013,242,164_8,171_10,164_8x171_10,1,73,225
2013,244,170_6,170_2,170_2x170_6,-1,77,215
2013,245,167_3,166_11,166_11x167_3,-1,76,250
2013,246,169_6,164_1,164_1x169_6,-1,NA,145
2013,247,169_11,170_7,169_11x170_7,1,78,165
2013,248,164_11,165_10,164_11x165_10,1,76,230
2013,249,166_9,164_1,164_1x166_9,-1,74,240
2013,250,170_7,170_4,170_4x170_7,-1,73,260
2013,252,164_14,164_1,164_1x164_14,-1,75,255
2013,253,165_6,166_3,165_6x166_3,1,72,240
2013,254,164_4,167_3,164_4x167_3,1,76,285
2013,256,170_12,168_2,168_2x170_12,-1,72,285
2013,257,167_5,164_1,164_1x167_5,-1,75,220
2013,259,164_14,164_1,164_1x164_14,-1,75,245
2013,260,171_8,170_12,170_12x171_8,-1,76,265
2013,261,167_12,170_12,167_12x170_12,1,73,250
2013,262,171_8,170_12,170_12x171_8,-1,75,235
2013,263,164_2,166_12,164_2x166_12,1,88,125
2013,264,171_6,167_1,167_1x171_6,-1,79,250
2013,268,164_8,171_10,164_8x171_10,1,74,230
2013,269,164_1,166_9,164_1x166_9,1,73,170
2013,270,164_14,166_9,164_14x166_9,1,70,235
2013,271,171_4,171_7,171_4x171_7,1,73,255
2013,272,171_6,165_10,165_10x171_6,-1,73,270
2013,273,168_5,171_4,168_5x171_4,1,77,250
2013,274,170_4,171_5,170_4x171_5,1,73,270
2013,275,167_12,170_12,167_12x170_12,1,73,240
2013,277,171_10,169_12,169_12x171_10,-1,NA,65
2013,278,170_11,170_2,170_11x170_2,1,76,225
2013,279,164_4,166_11,164_4x166_11,1,75,260
2013,280,169_6,166_9,166_9x169_6,-1,71,225
2013,281,171_5,171_13,171_13x171_5,-1,72,245
2013,282,167_8,171_10,167_8x171_10,1,75,225
2013,284,165_4,166_11,165_4x166_11,1,74,NA
2013,285,167_5,166_9,166_9x167_5,-1,80,230
2013,286,167_5,164_1,164_1x167_5,-1,74,215
2013,287,165_4,166_11,165_4x166_11,1,71,235
2013,288,167_8,164_8,164_8x167_8,-1,72,245
2013,289,171_8,168_2,168_2x171_8,-1,74,260
2013,290,165_6,164_2,164_2x165_6,-1,74,250
2013,291,171_11,170_1,170_1x171_11,-1,74,270
2013,293,164_1,164_14,164_1x164_14,1,NA,230
2013,294,170_6,170_2,170_2x170_6,-1,71,225
2013,295,164_14,169_6,164_14x169_6,1,71,290
2013,296,170_7,171_5,170_7x171_5,1,77,255
2013,297,169_11,171_13,169_11x171_13,1,73,255
2013,298,170_4,171_13,170_4x171_13,1,72,235
2013,299,169_6,164_14,164_14x169_6,-1,80,205
2013,300,167_8,164_8,164_8x167_8,-1,75,200
2013,301,170_7,171_13,170_7x171_13,1,75,245
2013,302,171_6,167_1,167_1x171_6,-1,72,260
2013,303,168_5,171_7,168_5x171_7,1,NA,NA
2013,305,164_2,166_12,164_2x166_12,1,72,255
2013,307,170_4,171_5,170_4x171_5,1,71,250
2013,308,167_5,164_1,164_1x167_5,-1,72,245
2013,313,171_10,167_8,167_8x171_10,-1,72,245
2013,314,166_3,166_12,166_12x166_3,-1,70,250
2013,317,167_5,169_6,167_5x169_6,1,72,270
2013,319,164_11,167_1,164_11x167_1,1,71,225
2013,328,169_11,171_5,169_11x171_5,1,NA,NA
2013,331,164_2,166_3,164_2x166_3,1,72,240
2013,332,165_6,166_12,165_6x166_12,1,75,245
2013,333,166_9,164_1,164_1x166_9,-1,75,225
2013,335,171_4,171_7,171_4x171_7,1,74,275
2013,337,168_5,171_7,168_5x171_7,1,77,245
2013,338,170_1,167_6,167_6x170_1,-1,85,215
2013,340,171_4,171_7,171_4x171_7,1,73,235
2013,342,164_8,171_10,164_8x171_10,1,72,215
2013,343,164_4,166_11,164_4x166_11,1,75,245
2013,345,168_5,171_4,168_5x171_4,1,76,210
2013,346,170_4,171_5,170_4x171_5,1,72,265
2013,347,170_6,170_11,170_11x170_6,-1,76,265
2013,349,167_5,169_6,167_5x169_6,1,73,235
2013,351,170_6,170_2,170_2x170_6,-1,80,230
2013,352,164_2,166_12,164_2x166_12,1,75,240
2013,354,167_5,164_1,164_1x167_5,-1,74,245
2013,355,165_7,166_10,165_7x166_10,1,78,260
2013,356,171_8,167_12,167_12x171_8,-1,77,230
2013,358,167_5,166_9,166_9x167_5,-1,78,250
2013,360,164_4,167_3,164_4x167_3,1,NA,NA
2013,362,164_2,166_12,164_2x166_12,1,75,210
2013,364,171_10,164_8,164_8x171_10,-1,NA,NA
2013,365,171_11,167_6,167_6x171_11,-1,80,215
2013,366,170_1,171_11,170_1x171_11,1,76,235
2013,367,171_6,167_1,167_1x171_6,-1,72,240
2013,371,165_4,166_11,165_4x166_11,1,75,270
2013,372,171_9,171_3,171_3x171_9,-1,NA,135
2013,374,164_2,166_3,164_2x166_3,1,73,260
2013,380,167_3,166_11,166_11x167_3,-1,76,250
2013,381,168_5,171_7,168_5x171_7,1,75,240
2013,382,169_6,166_9,166_9x169_6,-1,75,105
2013,383,167_5,164_14,164_14x167_5,-1,73,260
2013,386,164_2,166_3,164_2x166_3,1,69,250
2013,387,171_10,164_8,164_8x171_10,-1,72,220
2013,393,171_8,167_13,167_13x171_8,-1,74,265
2013,394,165_4,166_11,165_4x166_11,1,76,265
2013,397,166_9,164_1,164_1x166_9,-1,80,210
2013,398,166_10,165_7,165_7x166_10,-1,73,275
2013,399,170_2,170_11,170_11x170_2,-1,81,270
2013,402,164_11,165_10,164_11x165_10,1,73,260
2013,408,165_4,166_11,165_4x166_11,1,73,260
2013,410,167_12,168_2,167_12x168_2,1,81,225
