pig	sire	dam	year	sex	pen	weanage	weanwt	adg	weight	loinarea
133	2	1	2004	1	52	21	13.25	2	264	5.34
654	2	1	2004	1	58	21	12.45	2	266	6.62
655	2	1	2004	1	54	21	13.55	1.6	215	5.5
153	2	1	2004	1	56	21	15.6	1.9	267	7.04
656	4	3	2004	2	59	21	10.4	1.5	210	3.94
657	4	3	2004	2	57	21	10.1	0.9	153	3.74
658	4	3	2004	1	56	21	11.6	1.9	249	5.95
659	4	3	2004	1	58	21	11.05	1.6	229	3.79
660	4	3	2004	1	54	21	10.6	1.6	209	5.33
661	4	3	2004	1	60	21	12.6	1.9	251	5.69
662	6	5	2004	3	47	21	15.45	2.4	315	6.49
663	6	5	2004	2	59	21	15.3	1.9	250	4.61
664	6	5	2004	1	58	21	9.25	1.8	241	5.35
129	6	5	2004	1	46	21	13.9	1.8	250	4.87
665	8	7	2004	2	59	21	10.3	1.9	246	4.43
666	8	7	2004	2	57	21	11.85	1	166	3.79
667	8	7	2004	3	47	21	9.2	1.7	234	5.12
668	8	7	2004	1	56	21	8.5	1.9	251	6.78
669	8	7	2004	1	54	21	10.4	1.8	232	5.03
670	8	7	2004	1	60	21	15.45	1.8	247	6.11
164	8	7	2004	1	58	21	11.3	2	273	6.38
191	10	9	2004	2	59	21	13.35	1.8	252	5.56
671	10	9	2004	3	47	21	14.45	2.2	300	6.08
136	10	9	2004	2	57	21	12.4	2	285	6.81
187	10	9	2004	1	56	21	14.1	2.2	295	6.92
127	10	9	2004	1	58	21	15.45	2.3	308	6.39
672	10	9	2004	1	54	21	14.75	2.2	296	5.59
673	10	9	2004	1	60	21	13.15	1.9	268	5.12
674	12	11	2004	2	59	21	10.05	1.8	245	5.03
675	12	11	2004	2	57	21	13.2	1.4	202	4.18
676	12	11	2004	1	60	21	13.2	1.6	230	5.87
677	12	11	2004	1	56	21	11.85	1.5	215	5.13
678	12	11	2004	1	54	21	12.05	2	271	7.56
679	14	13	2004	2	59	21	15	1.8	248	5.59
680	14	13	2004	2	57	21	14.95	1.7	240	5.55
681	14	13	2004	1	46	21	14.6	1.6	227	4.87
158	14	13	2004	1	44	21	15.55	2	271	5.64
682	14	13	2004	1	50	21	15.4	1.8	242	5.42
683	14	13	2004	1	54	21	15.9	2	271	5.73
684	16	15	2004	2	53	21	12.75	1.8	247	5.42
685	16	15	2004	1	60	21	13.95	1.8	244	5
686	16	15	2004	1	50	21	13.85	1.8	228	6.15
687	16	15	2004	1	54	21	13.9	1.9	259	6.05
688	16	15	2004	1	46	21	12.8	1.6	210	4.58
689	18	17	2004	3	49	21	14.3	1.9	273	5.65
690	18	17	2004	2	53	21	11.9	2	278	5.27
691	18	17	2004	1	50	21	10.6	1.7	230	4.78
692	18	17	2004	1	48	21	9.95	1.6	202	4.22
693	18	17	2004	1	52	21	10.9	1.7	245	5.06
132	20	19	2004	2	55	21	12.25	2.2	282	4.92
148	20	19	2004	2	53	21	10.75	2.1	265	5.26
694	20	19	2004	3	49	22	15.85	2.1	283	5.38
695	20	19	2004	1	56	21	8.8	1.5	205	3.85
696	20	19	2004	1	44	21	11.1	1.6	221	4.87
168	20	19	2004	1	60	21	11.4	1.9	245	6.32
697	20	19	2004	1	40	21	11.45	1.6	220	3.92
698	20	19	2004	1	46	21	13.05	1.6	230	4.42
699	22	21	2004	2	53	21	14.25	2	272	4.78
700	22	21	2004	3	49	21	15.2	1.9	253	5.51
701	22	21	2004	3	37	21	12.95	1.4	180	4.01
702	22	21	2004	1	46	21	11.85	1.2	176	3.81
703	22	21	2004	1	44	21	13.15	1.9	250	5.56
704	22	21	2004	1	42	21	12.9	1.9	258	4.81
705	22	21	2004	1	48	21	10.05	1.6	212	5.54
706	24	23	2004	2	55	21	13.95	1.6	223	3.84
165	24	23	2004	2	53	21	14.6	2.2	283	5.71
707	24	23	2004	1	44	21	12.65	1.6	227	4.56
708	24	23	2004	1	40	22	13.65	1.9	259	6.28
131	24	23	2004	1	50	21	12.3	1.9	240	5.02
143	24	23	2004	1	46	21	13.7	2	278	5.41
709	26	25	2004	2	57	21	14.4	1.6	220	4.98
710	26	25	2004	3	47	20	15.1	2.2	277	5.32
711	26	25	2004	1	54	21	14.25	1.9	252	6.76
712	26	25	2004	1	56	21	14.1	1.7	241	5.58
713	8	27	2004	2	51	21	13	1.9	256	6.95
714	8	27	2004	3	49	21	12.75	2	270	5.71
715	8	27	2004	2	55	21	13.05	1.7	238	4.81
716	8	27	2004	1	48	21	8.8	1.8	235	5.76
717	8	27	2004	1	42	21	8.75	1.6	227	5.49
718	8	27	2004	1	40	21	13.45	1.9	258	4.84
719	8	27	2004	1	52	21	12.25	1.6	229	5.22
720	29	28	2004	2	53	21	15.95	1.6	227	4.01
721	29	28	2004	3	49	21	16.4	2.1	265	5.38
149	29	28	2004	1	42	21	11.95	1.8	237	5.69
722	29	28	2004	1	58	21	10.85	1.7	233	5.2
723	29	28	2004	1	44	21	13.9	1.8	235	5.1
724	31	30	2004	3	49	21	12.35	1.9	263	5.31
725	31	30	2004	2	51	21	11.8	1.9	256	5.89
726	31	30	2004	1	40	21	11.3	1.6	216	4.18
727	31	30	2004	1	42	21	9.45	1.7	240	5.64
728	31	30	2004	1	52	21	10.55	1.8	249	4.32
159	33	32	2004	2	59	21	13.95	2	273	5.94
729	33	32	2004	1	56	21	10.8	1.8	235	5.35
730	33	32	2004	1	42	21	8.4	2	253	5.27
147	33	32	2004	1	44	21	10.2	2.1	255	4.93
731	33	32	2004	1	58	21	9.95	1.8	241	5.85
185	33	32	2004	1	48	21	9.1	1.9	247	5.65
732	35	34	2004	3	49	21	14.25	2.2	285	5.57
733	35	34	2004	2	55	21	11.25	1.5	206	5.51
734	35	34	2004	3	37	22	14	2	264	5.62
735	35	34	2004	1	48	21	7.6	1.7	210	4.7
736	35	34	2004	1	46	21	11.35	2.1	273	4.71
166	35	34	2004	1	50	21	10.7	1.9	237	6.35
151	35	34	2004	1	42	21	12.9	1.8	248	5.56
150	37	36	2004	2	55	21	13.5	2.2	279	4.79
737	37	36	2004	1	40	21	14.2	1.8	255	5.6
738	37	36	2004	1	46	21	13.4	1.9	242	5.74
739	37	36	2004	1	50	21	13.25	1.8	247	5.58
740	37	36	2004	1	48	21	13	1.9	255	6.81
741	26	38	2004	2	51	21	12.85	1.8	247	5.06
742	26	38	2004	3	47	21	11.2	2.2	283	6.24
743	26	38	2004	2	43	21	11.65	1.6	223	4.55
121	26	38	2004	1	34	21	9.75	1.8	245	5.61
174	26	38	2004	1	31	21	10.25	1.8	248	5.76
744	26	38	2004	1	44	24	13.85	1.6	232	5.23
745	26	38	2004	1	38	21	10.7	1.6	220	4.21
746	37	39	2004	2	45	21	13.85	1.9	250	5.44
747	37	39	2004	3	47	21	11.65	1.6	217	4.5
748	37	39	2004	3	35	21	13.9	1.8	235	5.04
749	37	39	2004	1	38	21	15.05	1.8	235	5.76
750	37	39	2004	1	34	21	15.75	2	272	5.5
751	37	39	2004	1	36	21	13.4	1.9	250	6.03
752	41	40	2004	3	37	21	13.2	2	251	5.24
753	41	40	2004	3	47	21	9.85	2	248	5.62
754	41	40	2004	2	51	21	11.25	2.3	286	6.47
755	41	40	2004	1	34	21	13.35	2	266	6.11
756	41	40	2004	1	38	21	9.75	1.8	235	5.24
757	41	40	2004	1	36	21	7.45	2	247	5.72
758	41	40	2004	1	32	21	6.6	2.1	246	6.24
759	24	42	2004	2	45	21	13.4	1.6	235	5.3
760	24	42	2004	3	37	21	13.65	1.8	225	3.82
190	24	42	2004	1	32	21	13.1	2.1	265	5.37
115	24	42	2004	1	36	21	13.5	1.8	247	5.17
761	24	42	2004	1	38	21	15.3	1.8	251	5.44
