pig	sire	dam
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	63	62
114	2	103
115	24	42
116	18	53
117	2	103
118	50	90
119	41	107
120	69	68
121	26	38
122	2	103
123	75	89
124	33	112
125	29	45
126	50	90
127	10	9
128	2	54
129	6	5
130	22	110
131	24	23
132	20	19
133	2	1
134	10	55
135	41	70
136	10	9
137	75	76
138	10	87
139	50	90
140	2	54
141	57	56
142	12	46
143	24	23
144	69	105
145	12	46
146	2	54
147	33	32
148	20	19
149	29	28
150	37	36
151	35	34
152	63	62
153	2	1
154	29	98
155	41	70
156	37	101
157	12	46
158	14	13
159	33	32
160	35	92
161	63	97
162	75	89
163	10	87
164	8	7
165	24	23
166	35	34
167	57	73
168	20	19
169	57	85
170	41	107
171	50	108
172	50	90
173	29	45
174	26	38
175	50	49
176	65	66
177	29	98
178	75	89
179	6	77
180	57	106
181	16	67
182	50	108
183	57	73
184	35	92
185	33	32
186	50	90
187	10	9
188	14	47
189	14	47
190	24	42
191	10	9
192	59	58
193	69	105
194	16	96
195	57	56
196	65	82
197	140	181
198	178	177
199	134	146
200	173	172
201	191	190
202	114	169
203	122	121
204	134	133
205	122	121
206	120	119
207	0	0
208	120	194
209	0	0
210	0	0
211	118	117
212	0	0
213	132	131
214	114	113
215	0	0
216	154	153
217	154	153
218	118	117
219	173	172
220	134	146
221	0	0
222	118	180
223	136	166
224	134	146
225	0	0
226	114	193
227	114	169
228	134	133
229	154	153
230	138	137
231	120	194
232	118	117
233	0	0
234	0	0
235	0	0
236	0	0
237	128	127
238	173	172
239	0	0
240	132	189
241	0	0
242	159	175
243	128	185
244	120	194
245	148	163
246	132	195
247	0	0
