treeid,female,male,prov,block,plot,height,diameter,volume
170.1,170,0,10,1,3,12.5,19.6,0.1441
170.2,170,0,10,1,3,9,11.2,0.0339
170.3,170,0,10,1,3,10.7,17.8,0.1017
170.4,170,0,10,2,84,11.6,17.4,0.1054
170.5,170,0,10,2,84,10.6,17.5,0.0974
170.6,170,0,10,2,84,10.7,18.6,0.1111
170.7,170,0,10,2,84,11.5,18.8,0.1219
170.8,170,0,10,2,84,11.3,16.8,0.0957
170.9,170,0,10,3,132,10.6,19.2,0.1172
170.10,170,0,10,3,132,12.8,20.7,0.1645
170.11,170,0,10,3,132,12.2,24.5,0.2197
170.12,170,0,10,3,132,11.9,18.6,0.1235
170.13,170,0,10,4,156,10.7,22,0.1554
170.14,170,0,10,4,156,12.3,22.4,0.1851
170.15,170,0,10,4,156,11.4,22.5,0.1731
170.16,170,0,10,4,156,11.3,17.2,0.1003
170.17,170,0,10,4,156,10.5,20.1,0.1273
170.18,170,0,10,4,156,11,20.5,0.1387
170.19,170,0,10,5,195,10.9,20.3,0.1348
170.20,170,0,10,5,195,12.1,23.8,0.2056
170.21,170,0,10,5,195,10.4,18.5,0.1068
170.22,170,0,10,5,195,11.2,27.1,0.2468
170.23,170,0,10,1,3,10.5,16.6,0.0868
191.1,191,0,10,1,1,10.7,15,0.0722
191.2,191,0,10,1,1,11.5,22,0.167
191.3,191,0,10,1,1,12.1,23.8,0.2056
191.4,191,0,10,1,1,12,22.7,0.1855
191.5,191,0,10,1,1,12.2,21.5,0.1692
191.6,191,0,10,1,1,12.5,22.8,0.1949
191.7,191,0,10,2,83,7.9,10.2,0.0247
191.8,191,0,10,2,83,12.2,21.6,0.1708
191.9,191,0,10,2,83,7.5,11.4,0.0292
191.10,191,0,10,2,83,12.2,23.1,0.1953
191.11,191,0,10,2,83,11.5,18.8,0.1219
191.12,191,0,10,3,130,11.6,19.2,0.1283
191.13,191,0,10,3,130,12.8,26,0.2596
191.14,191,0,10,3,130,11.7,22.8,0.1825
191.15,191,0,10,3,130,12.8,21.6,0.1792
191.16,191,0,10,3,130,12.4,20.9,0.1625
191.17,191,0,10,3,130,10,16.2,0.0787
191.18,191,0,10,4,158,9.6,14.8,0.0631
191.19,191,0,10,4,158,13.3,18.9,0.1425
191.20,191,0,10,4,158,11.2,18,0.1089
191.21,191,0,10,4,158,12.4,22.5,0.1883
191.22,191,0,10,4,158,10.4,15.2,0.0721
191.23,191,0,10,4,158,11.8,18.4,0.1199
191.24,191,0,10,5,193,11.7,20.5,0.1475
191.25,191,0,10,5,193,11.3,22.1,0.1656
191.26,191,0,10,5,193,11.4,19.9,0.1354
191.27,191,0,10,5,193,10.3,22.3,0.1537
191.28,191,0,10,5,193,10.5,20.4,0.1311
191.29,191,0,10,2,83,12.7,21,0.168
192.1,192,0,10,1,2,12.8,24.1,0.223
192.2,192,0,10,1,2,12,19.8,0.1411
192.3,192,0,10,1,2,13.9,23.4,0.2283
192.4,192,0,10,1,2,13.1,22.1,0.1919
192.5,192,0,10,2,82,12.1,22.6,0.1854
192.6,192,0,10,2,82,12.7,20.2,0.1555
192.7,192,0,10,2,82,12.7,23.7,0.214
192.8,192,0,10,2,82,12.3,20,0.1476
192.9,192,0,10,2,82,10.5,19,0.1137
192.10,192,0,10,3,131,12.3,22,0.1786
