treeid	 female	 prov
10	0	0
11	0	0
12	0	0
13	0	0
170	10	10
191	10	10
192	10	10
196	11	11
197	11	11
198	11	11
200	11	11
201	11	11
202	11	11
203	11	11
204	11	11
205	11	11
206	11	11
207	11	11
210	12	12
211	12	12
212	12	12
213	12	12
216	12	12
217	12	12
218	12	12
219	12	12
224	12	12
225	12	12
226	12	12
227	12	12
231	13	13
232	13	13
233	13	13
238	13	13
239	13	13
245	13	13
247	13	13
251	13	13
252	13	13
253	13	13
170.1	 170	 10
170.2	 170	 10
170.3	 170	 10
170.4	 170	 10
170.5	 170	 10
170.6	 170	 10
170.7	 170	 10
170.8	 170	 10
170.9	 170	 10
170.10	 170	 10
170.11	 170	 10
170.12	 170	 10
170.13	 170	 10
170.14	 170	 10
170.15	 170	 10
170.16	 170	 10
170.17	 170	 10
170.18	 170	 10
170.19	 170	 10
170.20	 170	 10
170.21	 170	 10
170.22	 170	 10
170.23	 170	 10
191.1	 191	 10
191.2	 191	 10
191.3	 191	 10
191.4	 191	 10
191.5	 191	 10
191.6	 191	 10
191.7	 191	 10
191.8	 191	 10
191.9	 191	 10
191.10	 191	 10
191.11	 191	 10
191.12	 191	 10
191.13	 191	 10
191.14	 191	 10
191.15	 191	 10
191.16	 191	 10
191.17	 191	 10
191.18	 191	 10
191.19	 191	 10
191.20	 191	 10
191.21	 191	 10
191.22	 191	 10
191.23	 191	 10
191.24	 191	 10
191.25	 191	 10
191.26	 191	 10
191.27	 191	 10
191.28	 191	 10
191.29	 191	 10
192.1	 192	 10
192.2	 192	 10
192.3	 192	 10
192.4	 192	 10
192.5	 192	 10
192.6	 192	 10
192.7	 192	 10
192.8	 192	 10
192.9	 192	 10
192.10	 192	 10
192.11	 192	 10
192.12	 192	 10
192.13	 192	 10
192.14	 192	 10
192.15	 192	 10
192.16	 192	 10
192.17	 192	 10
192.18	 192	 10
192.19	 192	 10
192.20	 192	 10
192.21	 192	 10
192.22	 192	 10
192.23	 192	 10
192.24	 192	 10
192.25	 192	 10
196.1	 196	 11
196.2	 196	 11
196.3	 196	 11
196.4	 196	 11
196.5	 196	 11
196.6	 196	 11
196.7	 196	 11
196.8	 196	 11
196.9	 196	 11
196.10	 196	 11
196.11	 196	 11
196.12	 196	 11
196.13	 196	 11
196.14	 196	 11
196.15	 196	 11
196.16	 196	 11
196.17	 196	 11
196.18	 196	 11
196.19	 196	 11
196.20	 196	 11
196.21	 196	 11
196.22	 196	 11
197.1	 197	 11
197.2	 197	 11
197.3	 197	 11
197.4	 197	 11
197.5	 197	 11
197.6	 197	 11
197.7	 197	 11
197.8	 197	 11
197.9	 197	 11
197.10	 197	 11
197.11	 197	 11
197.12	 197	 11
197.13	 197	 11
197.14	 197	 11
197.15	 197	 11
197.16	 197	 11
197.17	 197	 11
197.18	 197	 11
197.19	 197	 11
197.20	 197	 11
197.21	 197	 11
197.22	 197	 11
197.23	 197	 11
197.24	 197	 11
197.25	 197	 11
198.1	 198	 11
198.2	 198	 11
198.3	 198	 11
198.4	 198	 11
198.5	 198	 11
198.6	 198	 11
198.7	 198	 11
198.8	 198	 11
198.9	 198	 11
198.10	 198	 11
198.11	 198	 11
198.12	 198	 11
198.13	 198	 11
198.14	 198	 11
198.15	 198	 11
198.16	 198	 11
198.17	 198	 11
198.18	 198	 11
198.19	 198	 11
198.20	 198	 11
198.21	 198	 11
198.22	 198	 11
198.23	 198	 11
198.24	 198	 11
198.25	 198	 11
200.1	 200	 11
200.2	 200	 11
200.3	 200	 11
200.4	 200	 11
200.5	 200	 11
