female,male,site,block,height,volume,rust,stemform
16,0,101,18,25.5,0.7558994293,0,1
16,0,101,5,21.5,1.0879087448,0,4
16,0,101,6,24.5,1.1874341965,0,4
16,0,101,3,29,2.1501274109,0,5
16,0,101,17,32,2.8510780334,0,2
16,0,101,16,27,1.6356010437,0,3
16,0,101,20,25,1.5169429779,0,3
16,0,101,15,27.5,1.665266037,0,3
16,0,101,14,26.5,1.7223596573,0,1
16,0,101,1,29,1.7542600632,0,2
16,0,101,9,27,1.5778799057,0,3
16,0,101,2,29.5,1.8481473923,0,3
16,0,101,12,29.5,2.3301067352,0,4
16,0,101,7,28,1.5186491013,0,3
16,0,101,11,22,0.7590374947,0,4
16,0,101,8,26.5,1.2816162109,0,1
16,0,101,19,26.5,1.4390983582,0,5
16,0,101,13,29,1.6922636032,0,4
16,0,101,10,24.5,1.2350053787,0,3
18,0,101,8,20.5,0.8478941917,0,3
18,0,101,20,25,0.7049646378,0,4
18,0,101,18,25.5,1.4385786057,0,3
18,0,101,19,22.5,0.8496594429,0,6
18,0,101,1,21.5,0.6426148415,0,3
18,0,101,12,24.5,1.1874341965,0,2
18,0,101,9,26,1.4125814438,0,3
18,0,101,4,25,1.259522438,0,3
18,0,101,6,26.5,1.1818246841,0,4
18,0,101,10,22.5,1.1815109253,1,5
18,0,101,11,24,0.9869017601,1,5
18,0,101,14,23,0.7920069695,0,5
18,0,101,5,22,0.7590374947,0,3
18,0,101,15,24.5,1.3834857941,0,2
18,0,101,13,27,1.4656152725,0,3
18,0,101,2,24.5,1.4349012375,0,5
18,0,101,16,24,1.0297365189,0,3
18,0,101,17,27.5,1.5487651825,0,2
18,0,101,7,24.5,1.5406150818,0,5
18,0,101,3,25.5,1.0919876099,0,3
414,0,101,10,24.5,1.0504865646,0,3
414,0,101,2,24.5,1.2350053787,0,5
414,0,101,19,23.5,0.8084917068,0,1
414,0,101,5,20.5,0.6452527046,0,3
414,0,101,4,17,0.4901633263,0,5
414,0,101,15,26,0.9332404137,0,3
414,0,101,1,30.5,2.0460414886,0,3
414,0,101,17,30,1.9453887939,0,1
414,0,101,8,26,1.5206890106,0,1
414,0,101,9,24,0.8249764442,0,3
414,0,101,3,25.5,1.2345256805,0,2
414,0,101,7,22,0.6900000572,0,3
414,0,101,6,25,1.1634187698,0,1
414,0,101,14,29,1.57168293,0,3
414,0,101,20,25.5,1.2345256805,0,1
414,0,101,16,26,1.5206890106,0,1
414,0,101,18,30,2.1519126892,0,1
414,0,101,13,27.5,1.3821029663,0,3
414,0,101,12,26,1.3600578308,0,2
414,0,101,11,27,2.1354961395,1,2
415,0,101,9,23,0.7554683685,0,5
415,0,101,18,23.5,1.0956354141,0,4
415,0,101,16,23.5,1.0518493652,0,4
415,0,101,14,26.5,1.1818246841,0,2
415,0,101,5,21.5,0.4655096531,0,4
415,0,101,10,18,0.4181640148,0,6
415,0,101,20,21.5,0.6426148415,0,4
415,0,101,4,23.5,0.9260230064,0,2
415,0,101,1,23.5,0.7711586952,0,1
415,0,101,7,24.5,1.4349012375,0,2
415,0,101,17,14,0.2489821911,0,6
415,0,101,6,21.5,0.925983429,0,3
415,0,101,3,16,0.1720992327,0,5
415,0,101,12,24.5,1.0504865646,0,5
415,0,101,15,18,0.2723608017,0,4
415,0,101,8,25.5,1.1860122681,0,2
415,0,101,11,26.5,1.4936714172,0,3
415,0,101,19,28,2.0771484375,0,2
415,0,101,2,23.5,1.1403436661,0,3
415,0,101,13,24.5,1.3834857941,0,5
416,0,101,6,27,2.4823532104,0,4
416,0,101,18,22.5,0.8880519867,0,3
416,0,101,16,11,0.0759956241,0,6
416,0,101,8,22.5,1.1815109253,0,4
416,0,101,19,25,1.6831626892,0,2
416,0,101,2,26,1.20860672,0,3
416,0,101,20,25,1.4110326767,0,6
416,0,101,10,15.5,0.3851356506,0,6
416,0,101,14,23.5,1.0518493652,0,4
416,0,101,7,16.5,0.9773697853,0,5
416,0,101,11,27,1.6356010437,0,4
416,0,101,1,18,0.3514404297,0,5
416,0,101,5,25,1.1634187698,0,2
416,0,101,13,23.5,0.6310434341,0,4
416,0,101,4,26.5,1.7821302414,0,1
416,0,101,12,18.5,0.7361688614,0,6
416,0,101,17,23.5,1.0956354141,0,3
